datetime,power,total_particles,length_per_rank,num_procs,box_length,RAM_GB,gen_time,dist_time,device,seed,mode
2025-09-22 14:56:38,3,4000,250,4,1000.0,0.00,0.002692,0.000570,cpu,69,weak
2025-09-22 14:56:39,3,6000,167,6,1000.0,0.00,0.002031,0.000968,cpu,69,weak
2025-09-22 14:56:40,3,4000,250,4,1000.0,0.00,0.002595,0.000486,cpu,69,weak
2025-09-22 14:56:40,3,1000,250,4,1000.0,0.00,0.002629,0.000566,cpu,69,strong
2025-09-22 14:56:41,3,6000,167,6,1000.0,0.00,0.001941,0.000852,cpu,69,weak
2025-09-22 14:56:41,3,4000,250,4,1000.0,0.00,0.002561,0.000480,cpu,69,weak
2025-09-22 14:56:42,3,1000,250,4,1000.0,0.00,0.002594,0.000491,cpu,69,strong
2025-09-22 14:56:43,3,6000,167,6,1000.0,0.00,0.001938,0.000848,cpu,69,weak
2025-09-22 14:56:43,3,4000,250,4,1000.0,0.00,0.002548,0.000502,cpu,69,weak
2025-09-22 14:56:43,3,1000,250,4,1000.0,0.00,0.002605,0.000500,cpu,69,strong
2025-09-22 14:56:44,3,4000,250,4,1000.0,0.00,0.002610,0.000523,cpu,69,weak
2025-09-22 14:56:44,3,6000,167,6,1000.0,0.00,0.001919,0.000876,cpu,69,weak
2025-09-22 14:56:44,3,1000,250,4,1000.0,0.00,0.009510,0.000517,cpu,69,strong
2025-09-22 14:56:46,3,6000,167,6,1000.0,0.00,0.001939,0.000835,cpu,69,weak
2025-09-22 14:56:46,3,1000,250,4,1000.0,0.00,0.002567,0.000507,cpu,69,strong
2025-09-22 14:57:01,3,1000,1000,1,1000.0,0.00,0.006142,0.000149,cpu,69,strong
2025-09-22 14:57:01,3,1000,500,2,1000.0,0.00,0.004195,0.000349,cpu,69,strong
2025-09-22 14:57:02,3,1000,1000,1,1000.0,0.00,0.006103,0.000134,cpu,69,strong
2025-09-22 14:57:02,3,1000,500,2,1000.0,0.00,0.004228,0.000279,cpu,69,strong
2025-09-22 14:57:03,3,1000,1000,1,1000.0,0.00,0.006290,0.000136,cpu,69,strong
2025-09-22 14:57:03,3,1000,500,2,1000.0,0.00,0.004333,0.000276,cpu,69,strong
2025-09-22 14:57:04,3,1000,1000,1,1000.0,0.00,0.006146,0.000129,cpu,69,strong
2025-09-22 14:57:05,3,1000,500,2,1000.0,0.00,0.004149,0.000278,cpu,69,strong
2025-09-22 14:57:06,3,1000,1000,1,1000.0,0.00,0.006098,0.000132,cpu,69,strong
2025-09-22 14:57:06,3,1000,500,2,1000.0,0.00,0.004951,0.000289,cpu,69,strong
2025-09-22 14:57:21,3,1000,167,6,1000.0,0.00,0.002024,0.000910,cpu,69,strong
2025-09-22 14:57:22,3,1000,167,6,1000.0,0.00,0.001937,0.000838,cpu,69,strong
2025-09-22 14:57:24,3,1000,167,6,1000.0,0.00,0.001940,0.000880,cpu,69,strong
2025-09-22 14:57:25,3,1000,167,6,1000.0,0.00,0.001937,0.000893,cpu,69,strong
2025-09-22 14:57:27,3,1000,167,6,1000.0,0.00,0.001928,0.000868,cpu,69,strong
2025-09-22 14:57:38,3,2000,500,2,1000.0,0.00,0.002133,0.000308,cpu,69,weak
2025-09-22 14:57:39,3,2000,500,2,1000.0,0.00,0.004209,0.000274,cpu,69,weak
2025-09-22 14:57:40,3,2000,500,2,1000.0,0.00,0.004109,0.000296,cpu,69,weak
2025-09-22 14:57:42,3,2000,500,2,1000.0,0.00,0.004128,0.000265,cpu,69,weak
2025-09-22 14:57:43,3,2000,500,2,1000.0,0.00,0.004192,0.000282,cpu,69,weak
